"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "JavaScript React", "comment", "blank", "total"
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\maps\Test1.json", "JSON", 0, 282429, 0, 0, 0, 0, 0, 282429
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\package-lock.json", "JSON", 0, 21369, 0, 0, 0, 0, 1, 21370
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\package.json", "JSON", 0, 101, 0, 0, 0, 0, 1, 102
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\assets\tileset\testTileset2.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 7
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\index.html", "HTML", 0, 0, 23, 0, 0, 0, 1, 24
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\DataManager.js", "JavaScript", 98, 0, 0, 0, 0, 13, 30, 141
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\History.js", "JavaScript", 61, 0, 0, 0, 0, 3, 14, 78
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\Setup.js", "JavaScript", 63, 0, 0, 0, 0, 9, 15, 87
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\UI.js", "JavaScript", 40, 0, 0, 0, 0, 0, 12, 52
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\World.js", "JavaScript", 322, 0, 0, 0, 0, 43, 82, 447
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\classes\AnimDoll.js", "JavaScript", 37, 0, 0, 0, 0, 1, 9, 47
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\classes\Chunk.js", "JavaScript", 52, 0, 0, 0, 0, 1, 7, 60
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\classes\ChunkMap.js", "JavaScript", 97, 0, 0, 0, 0, 4, 8, 109
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\classes\HitboxController.js", "JavaScript", 65, 0, 0, 0, 0, 4, 19, 88
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\DataEditor.css", "CSS", 0, 0, 0, 68, 0, 0, 14, 82
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\DataEditor.js", "JavaScript", 125, 0, 0, 0, 0, 16, 19, 160
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\DragMove.jsx", "JavaScript React", 0, 0, 0, 0, 41, 0, 11, 52
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\DropdownMenu.css", "CSS", 0, 0, 0, 16, 0, 0, 1, 17
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\DropdownMenu.js", "JavaScript", 61, 0, 0, 0, 0, 1, 5, 67
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\HitboxTesterInterface.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 5
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\HitboxTesterInterface.js", "JavaScript", 93, 0, 0, 0, 0, 10, 27, 130
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\MapEntry.css", "CSS", 0, 0, 0, 13, 0, 0, 2, 15
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\MapEntry.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\Menustyle.css", "CSS", 0, 0, 0, 23, 0, 0, 6, 29
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\ObjectEntry.css", "CSS", 0, 0, 0, 40, 0, 0, 11, 51
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\ObjectEntry.js", "JavaScript", 35, 0, 0, 0, 0, 2, 6, 43
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\ObjectList.js", "JavaScript", 80, 0, 0, 0, 0, 13, 18, 111
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\SelectionColumn.css", "CSS", 0, 0, 0, 19, 0, 0, 8, 27
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\SelectionColumn.js", "JavaScript", 63, 0, 0, 0, 0, 13, 18, 94
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\Tileset.css", "CSS", 0, 0, 0, 47, 0, 0, 6, 53
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\TilesetBase.js", "JavaScript", 117, 0, 0, 0, 0, 14, 27, 158
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\TilesetCover.js", "JavaScript", 50, 0, 0, 0, 0, 1, 9, 60
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\Topbar.css", "CSS", 0, 0, 0, 17, 0, 0, 3, 20
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\components\Topbar.js", "JavaScript", 34, 0, 0, 0, 0, 0, 5, 39
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\changeTool.js", "JavaScript", 38, 0, 0, 0, 0, 2, 10, 50
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\createParticle.js", "JavaScript", 61, 0, 0, 0, 0, 14, 25, 100
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\fillTiles.js", "JavaScript", 26, 0, 0, 0, 0, 7, 13, 46
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\getActiveTileset.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\getTileProp.js", "JavaScript", 11, 0, 0, 0, 0, 1, 2, 14
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\loadChunkMap.js", "JavaScript", 8, 0, 0, 0, 0, 2, 7, 17
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\loadData.js", "JavaScript", 21, 0, 0, 0, 0, 12, 9, 42
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\menuControl.js", "JavaScript", 15, 0, 0, 0, 0, 5, 5, 25
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\placeObject.js", "JavaScript", 104, 0, 0, 0, 0, 17, 26, 147
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\placeTile.js", "JavaScript", 46, 0, 0, 0, 0, 9, 14, 69
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\playParticleAnimation.js", "JavaScript", 19, 0, 0, 0, 0, 2, 7, 28
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\reactivateInactive.js", "JavaScript", 15, 0, 0, 0, 0, 2, 7, 24
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\removeTile.js", "JavaScript", 21, 0, 0, 0, 0, 3, 11, 35
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\functions\saveMaps.js", "JavaScript", 58, 0, 0, 0, 0, 9, 10, 77
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\utils\advancedCompare.js", "JavaScript", 19, 0, 0, 0, 0, 1, 7, 27
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\utils\checkHover.js", "JavaScript", 11, 0, 0, 0, 0, 1, 1, 13
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\utils\debug.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\utils\parseString.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\js\utils\utils-init.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 13
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\main.js", "JavaScript", 66, 0, 0, 0, 0, 13, 24, 103
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\preload.js", "JavaScript", 10, 0, 0, 0, 0, 1, 2, 13
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\preloadSettings.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\renderer.js", "JavaScript", 205, 0, 0, 0, 0, 29, 60, 294
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\rendererSettings.js", "JavaScript", 14, 0, 0, 0, 0, 0, 5, 19
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\settings.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 12
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\src\stylesheet.css", "CSS", 0, 0, 0, 83, 0, 1, 12, 96
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\webpack.main.config.js", "JavaScript", 6, 0, 0, 0, 0, 5, 1, 12
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\webpack.renderer.config.js", "JavaScript", 10, 0, 0, 0, 0, 1, 3, 14
"d:\Programming_Stuff\Ongoing_Projects\GameEditor\webpack.rules.js", "JavaScript", 30, 0, 0, 0, 0, 19, 1, 50
"Total", "-", 2352, 303906, 35, 331, 41, 304, 666, 307635